date,address,species,block,street,trap,addressnumberandstreet,latitude,longitude,addressaccuracy,wnvpresent,nummosquitos,year,month,day,station,stn_distance,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,tmax_wk1,tmin_wk1,tavg_wk1,dewpoint_wk1,wetbulb_wk1,heat_wk1,cool_wk1,preciptotal_wk1,cs_dz,cs_tsra,cs_ts,cs_br,cs_vcts,cs_fg,cs_hz,cs_ra,cs_na,s_cpr,s_cr,s_cp,loc
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,1,2007,5,29,2.0,12.1271,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,-3669.828862864192
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2,2007,5,29,2.0,12.1271,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,-3669.828862864192
2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,0,1,2007,5,29,2.0,12.0456,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,-3669.1821707871195
2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,0,1,2007,5,29,2.0,14.6551,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,-3672.428318647424
2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,0,1,2007,5,29,2.0,13.5506,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,-3677.85205537347
2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,0,2,2007,5,29,2.0,16.6649,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,-3675.1180599279996
2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,0,3,2007,5,29,2.0,10.1699,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,-3657.500444859872
2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,0,1,2007,5,29,2.0,15.5841,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,-3676.0857221518368
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,0,2,2007,5,29,2.0,18.0947,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,-3673.7092002470254
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,0,3,2007,5,29,2.0,18.0947,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,87.0,60.0,74.0,44.0,58.0,0.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,-3673.7092002470254
